Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/22 10:46:07;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1115142;1;31;Homme;Pic;False
2020/09/22 10:46:19;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1955872;1;31;Homme;Pic;False
2020/09/22 10:46:37;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2768853;1;31;Homme;Pic;False
2020/09/22 10:46:47;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3757138;1;31;Homme;Pic;False
2020/09/22 10:46:52;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4704389;1;31;Homme;Pic;False
2020/09/22 10:47:05;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5554098;1;31;Homme;Pic;False
2020/09/22 10:47:14;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.643523;1;31;Homme;Pic;False
2020/09/22 10:47:22;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.7312243;0;31;Homme;Pic;False
2020/09/22 10:47:33;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6572739;0;31;Homme;Pic;False
2020/09/22 10:47:45;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5939173;1;31;Homme;Pic;False
2020/09/22 10:47:55;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.6832075;1;31;Homme;Pic;False
2020/09/22 10:48:02;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7778032;0;31;Homme;Pic;False
2020/09/22 10:48:14;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.710686;1;31;Homme;Pic;False
2020/09/22 10:48:20;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8059309;1;31;Homme;Pic;False
2020/09/22 10:48:26;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8673514;0;31;Homme;Pic;False
2020/09/22 10:48:39;8.57377981663964;-11.5345893467269;0.805;OK;DDA_LOGREG;0.5;0.7396073;1;31;Homme;Pic;False
2020/09/22 10:48:46;8.31411852777084;-10.8649860035045;0.715;OK;DDA_LOGREG;0.5;0.7542432;1;31;Homme;Pic;False
2020/09/22 10:48:57;7.98179993647458;-10.1357815310334;0.74;OK;DDA_LOGREG;0.5;0.7931784;1;31;Homme;Pic;False
2020/09/22 10:49:12;7.28341607614755;-8.90159331850721;0.685;OK;DDA_LOGREG;0.5;0.7989427;0;31;Homme;Pic;False
