Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/21 11:30:12;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1267367;1;21;Homme;Low;False
2020/09/21 11:30:23;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1919373;1;21;Homme;Low;False
2020/09/21 11:30:34;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2752021;1;21;Homme;Low;False
2020/09/21 11:30:45;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3433615;1;21;Homme;Low;False
2020/09/21 11:30:54;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3940965;1;21;Homme;Low;False
2020/09/21 11:31:13;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4835301;1;21;Homme;Low;False
2020/09/21 11:31:30;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5600768;1;21;Homme;Low;False
2020/09/21 11:31:35;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6557907;1;21;Homme;Low;False
2020/09/21 11:31:41;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.7231575;1;21;Homme;Low;False
2020/09/21 11:31:47;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.7832345;1;21;Homme;Low;False
2020/09/21 11:31:52;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8497912;1;21;Homme;Low;False
2020/09/21 11:32:00;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9434549;0;21;Homme;Low;False
2020/09/21 11:32:05;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8546562;1;21;Homme;Low;False
2020/09/21 11:32:30;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9102095;0;21;Homme;Low;False
2020/09/21 11:32:39;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8378496;0;21;Homme;Low;False
2020/09/21 11:32:46;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7396563;0;21;Homme;Low;False
2020/09/21 11:33:01;10.8674697257187;-13.0257654577918;0.76;OK;DDA_LOGREG;0.2;0.7034799;0;21;Homme;Low;False
2020/09/21 11:33:15;7.14525038484438;-8.85965775744025;0.71;OK;DDA_LOGREG;0.2;0.6620801;1;21;Homme;Low;False
2020/09/21 11:33:28;7.61713897772342;-9.36763697623231;0.715;OK;DDA_LOGREG;0.2;0.6381211;1;21;Homme;Low;False
2020/09/21 11:33:37;8.06008179998702;-9.86890202905995;0.715;OK;DDA_LOGREG;0.2;0.6599169;0;21;Homme;Low;False
2020/09/21 11:33:45;5.32002153831151;-6.65606098523573;0.69;OK;DDA_LOGREG;0.2;0.5790686;1;21;Homme;Low;False
2020/09/21 11:33:58;5.53519356059146;-6.89091125535082;0.715;OK;DDA_LOGREG;0.2;0.5905179;1;21;Homme;Low;False
2020/09/21 11:34:05;5.73366787448898;-7.10468694158581;0.721666666666667;OK;DDA_LOGREG;0.2;0.6334958;1;21;Homme;Low;False
2020/09/21 11:34:11;5.90407519590167;-7.26606214305743;0.756666666666667;OK;DDA_LOGREG;0.2;0.6464373;1;21;Homme;Low;False
2020/09/21 11:34:25;7.98752134360036;-9.90931388116726;0.741666666666667;OK;DDA_LOGREG;0.2;0.6909366;1;21;Homme;Low;False
2020/09/21 11:34:33;8.22097114854687;-10.1295130468234;0.768333333333333;OK;DDA_LOGREG;0.2;0.7017472;1;21;Homme;Low;False
2020/09/21 11:34:41;8.42696194137534;-10.3126388091726;0.778333333333333;OK;DDA_LOGREG;0.2;0.6624144;1;21;Homme;Low;False
2020/09/21 11:34:46;8.68097703830382;-10.5928611030587;0.791666666666667;OK;DDA_LOGREG;0.2;0.6792869;1;21;Homme;Low;False
2020/09/21 11:34:58;8.91063755627027;-10.8350245507902;0.785;OK;DDA_LOGREG;0.2;0.6721728;1;21;Homme;Low;False
2020/09/21 11:35:08;9.13838749839724;-11.08331701913;0.783333333333333;OK;DDA_LOGREG;0.2;0.714324;1;21;Homme;Low;False
2020/09/21 11:35:16;9.29176282012668;-11.2087988449649;0.803333333333333;OK;DDA_LOGREG;0.2;0.717303;0;21;Homme;Low;False
2020/09/21 11:35:36;8.89829971430793;-10.9331540891889;0.788333333333333;OK;DDA_LOGREG;0.2;0.6934224;1;21;Homme;Low;False
2020/09/21 11:35:45;9.07895028820829;-11.1125668544932;0.800833333333333;OK;DDA_LOGREG;0.2;0.7004871;1;21;Homme;Low;False
2020/09/21 11:35:50;9.24132412647355;-11.2668312663625;0.793333333333333;OK;DDA_LOGREG;0.2;0.7096109;1;21;Homme;Low;False
2020/09/21 11:35:56;9.37956981297205;-11.3866515337586;0.8;OK;DDA_LOGREG;0.2;0.7127603;1;21;Homme;Low;False
2020/09/21 11:36:01;9.5084234240986;-11.4956316887657;0.795833333333333;OK;DDA_LOGREG;0.2;0.6871331;1;21;Homme;Low;False
2020/09/21 11:36:16;9.68469907254598;-11.6860302746985;0.813333333333333;OK;DDA_LOGREG;0.2;0.6869441;1;21;Homme;Low;False
2020/09/21 11:36:34;9.85620836152235;-11.8724194250142;0.810833333333333;OK;DDA_LOGREG;0.2;0.7135419;1;21;Homme;Low;False
2020/09/21 11:36:43;9.97547711179291;-11.9765469341825;0.813333333333333;OK;DDA_LOGREG;0.2;0.7162831;1;21;Homme;Low;False
2020/09/21 11:36:54;10.0869323793556;-12.0713562179389;0.826666666666667;OK;DDA_LOGREG;0.2;0.729845;1;21;Homme;Low;False
2020/09/21 11:37:07;10.1591214617109;-12.1081417152423;0.83;OK;DDA_LOGREG;0.2;0.7099788;1;21;Homme;Low;False
2020/09/21 11:37:13;10.283709340627;-12.2291163978779;0.8305;OK;DDA_LOGREG;0.2;0.7328908;1;21;Homme;Low;False
2020/09/21 11:37:26;10.3471944416361;-12.2577471063165;0.832;OK;DDA_LOGREG;0.2;0.7454464;1;21;Homme;Low;False
2020/09/21 11:37:30;11.5288989171732;-13.7199295971356;0.8385;OK;DDA_LOGREG;0.2;0.7343125;1;21;Homme;Low;False
2020/09/21 11:37:52;11.6251825455548;-13.793277884819;0.8455;OK;DDA_LOGREG;0.2;0.7181763;0;21;Homme;Low;False
2020/09/21 11:38:16;9.98806930490208;-11.8635301576266;0.824;OK;DDA_LOGREG;0.2;0.7281166;1;21;Homme;Low;False
2020/09/21 11:38:19;10.055924059555;-11.9069801496414;0.821;OK;DDA_LOGREG;0.2;0.7323738;1;21;Homme;Low;False
2020/09/21 11:38:27;10.1111895294079;-11.933366142896;0.8255;OK;DDA_LOGREG;0.2;0.7403762;1;21;Homme;Low;False
2020/09/21 11:38:31;11.189917498526;-13.2858781241215;0.8335;OK;DDA_LOGREG;0.2;0.7201184;1;21;Homme;Low;False
2020/09/21 11:38:38;11.3081754470741;-13.4038502007504;0.838;OK;DDA_LOGREG;0.2;0.7492977;1;21;Homme;Low;False
2020/09/21 11:38:47;11.3230525188551;-13.3696784592291;0.84;OK;DDA_LOGREG;0.2;0.7548122;1;21;Homme;Low;False
2020/09/21 11:38:57;11.3900153534516;-13.4004297471122;0.843666666666667;OK;DDA_LOGREG;0.2;0.7340509;1;21;Homme;Low;False
2020/09/21 11:39:01;11.4745340240462;-13.4712428488987;0.837666666666667;OK;DDA_LOGREG;0.2;0.7503209;1;21;Homme;Low;False
2020/09/21 11:39:16;11.4985449466787;-13.4546247439024;0.851333333333333;OK;DDA_LOGREG;0.2;0.7328921;1;21;Homme;Low;False
2020/09/21 11:39:21;11.5881601356206;-13.535591791619;0.853333333333333;OK;DDA_LOGREG;0.2;0.758418;1;21;Homme;Low;False
2020/09/21 11:39:29;11.5792928022821;-13.4742408477009;0.85;OK;DDA_LOGREG;0.2;0.7372473;1;21;Homme;Low;False
2020/09/21 11:39:36;11.6579663648031;-13.5413181757913;0.863666666666667;OK;DDA_LOGREG;0.2;0.7722533;1;21;Homme;Low;False
2020/09/21 11:39:41;11.5801664274969;-13.3844680927701;0.869666666666667;OK;DDA_LOGREG;0.2;0.7821247;1;21;Homme;Low;False
2020/09/21 11:39:49;11.4486640891791;-13.1537243537609;0.857666666666666;OK;DDA_LOGREG;0.2;0.7679715;1;21;Homme;Low;False
2020/09/21 11:40:17;11.4154450426662;-13.0633793571786;0.877333333333333;OK;DDA_LOGREG;0.2;0.7879993;1;21;Homme;Low;False
2020/09/21 11:40:25;11.267244165191;-12.8130405449957;0.87;OK;DDA_LOGREG;0.2;0.7769798;1;21;Homme;Low;False
2020/09/21 11:40:38;11.2014746005282;-12.6797990921398;0.882857142857143;OK;DDA_LOGREG;0.2;0.7510051;1;21;Homme;Low;False
2020/09/21 11:40:46;11.2525846027924;-12.7130701344853;0.874761904761905;OK;DDA_LOGREG;0.2;0.7866817;1;21;Homme;Low;False
