Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/22 11:29:41;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.124676;1;20;Femme;Flow;False
2020/09/22 11:29:57;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2197563;1;20;Femme;Flow;False
2020/09/22 11:30:13;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2926754;1;20;Femme;Flow;False
2020/09/22 11:30:27;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3790008;1;20;Femme;Flow;False
2020/09/22 11:30:56;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4578396;0;20;Femme;Flow;False
2020/09/22 11:31:27;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3677843;1;20;Femme;Flow;False
2020/09/22 11:31:54;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4454474;1;20;Femme;Flow;False
2020/09/22 11:32:14;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5303543;1;20;Femme;Flow;False
2020/09/22 11:32:30;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6238124;1;20;Femme;Flow;False
2020/09/22 11:32:40;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6909813;1;20;Femme;Flow;False
2020/09/22 11:32:59;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.768892;0;20;Femme;Flow;False
2020/09/22 11:33:13;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.6879274;1;20;Femme;Flow;False
2020/09/22 11:33:40;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7581542;0;20;Femme;Flow;False
2020/09/22 11:34:01;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.6912397;0;20;Femme;Flow;False
2020/09/22 11:34:10;5.96351099119247;-8.82646393141295;0.7;OK;DDA_LOGREG;0.5;0.6738747;0;20;Femme;Flow;False
2020/09/22 11:34:15;6.13804764233883;-9.46607138314749;0.71;OK;DDA_LOGREG;0.5;0.6445814;1;20;Femme;Flow;False
