Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/22 11:25:22;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1188423;1;26;Homme;Pic;False
2020/09/22 11:25:31;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1909154;1;26;Homme;Pic;False
2020/09/22 11:25:41;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2542189;1;26;Homme;Pic;False
2020/09/22 11:25:52;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3372435;1;26;Homme;Pic;False
2020/09/22 11:26:05;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4018877;1;26;Homme;Pic;False
2020/09/22 11:26:16;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5001938;1;26;Homme;Pic;False
2020/09/22 11:26:27;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5741276;1;26;Homme;Pic;False
2020/09/22 11:26:42;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6335673;0;26;Homme;Pic;False
2020/09/22 11:26:47;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5752975;1;26;Homme;Pic;False
2020/09/22 11:26:57;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6721636;1;26;Homme;Pic;False
2020/09/22 11:27:08;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7539384;1;26;Homme;Pic;False
2020/09/22 11:27:21;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8346049;1;26;Homme;Pic;False
2020/09/22 11:27:41;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9285387;0;26;Homme;Pic;False
2020/09/22 11:27:51;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8340877;1;26;Homme;Pic;False
2020/09/22 11:28:01;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.898774;0;26;Homme;Pic;False
2020/09/22 11:28:06;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8143506;1;26;Homme;Pic;False
2020/09/22 11:28:21;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8990941;1;26;Homme;Pic;False
2020/09/22 11:28:32;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9558436;1;26;Homme;Pic;False
2020/09/22 11:28:46;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;1;0;26;Homme;Pic;False
2020/09/22 11:28:54;6.68525292686333;-7.07707089831381;0.725;OK;DDA_LOGREG;0.8;1;1;26;Homme;Pic;False
2020/09/22 11:29:04;5.62829957224383;-5.56202003065718;0.745;OK;DDA_LOGREG;0.5;1;0;26;Homme;Pic;False
2020/09/22 11:29:08;6.37366532593024;-6.63840024619132;0.733333333333333;OK;DDA_LOGREG;0.5;0.9722136;0;26;Homme;Pic;False
2020/09/22 11:29:12;6.90225095639755;-7.41987063826587;0.73;OK;DDA_LOGREG;0.5;0.9462184;1;26;Homme;Pic;False
2020/09/22 11:29:19;6.5406639247954;-6.83019848176235;0.716666666666667;OK;DDA_LOGREG;0.5;0.9563188;0;26;Homme;Pic;False
2020/09/22 11:29:25;6.91719439508348;-7.41267428921023;0.72;OK;DDA_LOGREG;0.8;1;1;26;Homme;Pic;False
2020/09/22 11:29:30;6.19499118001486;-6.42062600234825;0.636666666666667;OK;DDA_LOGREG;0.5;0.9361055;0;26;Homme;Pic;False
2020/09/22 11:29:47;6.3726643284909;-6.76653067452754;0.633333333333333;OK;DDA_LOGREG;0.5;0.9181005;0;26;Homme;Pic;False
2020/09/22 11:29:57;6.4441629242162;-6.98256682497623;0.595;ACCURACY_TOO_LOW;DDA_PMDELTA;0.5;0.8429123;1;26;Homme;Pic;False
2020/09/22 11:30:08;6.71128713214086;-7.19643283844693;0.655;OK;DDA_LOGREG;0.5;0.9441335;0;26;Homme;Pic;False
2020/09/22 11:30:16;6.93555465734655;-7.55791600916927;0.708333333333333;OK;DDA_LOGREG;0.8;1;0;26;Homme;Pic;False
2020/09/22 11:30:21;7.34154143530031;-8.08774381379118;0.72;OK;DDA_LOGREG;0.5;0.898854;0;26;Homme;Pic;False
2020/09/22 11:30:26;7.26647734243895;-8.11391223248656;0.749166666666667;OK;DDA_LOGREG;0.5;0.8847522;1;26;Homme;Pic;False
2020/09/22 11:30:39;7.42043204110586;-8.18874986277331;0.721666666666667;OK;DDA_LOGREG;0.5;0.9181275;1;26;Homme;Pic;False
2020/09/22 11:30:45;7.36906801349256;-8.03014956894264;0.698333333333333;OK;DDA_LOGREG;0.5;0.9358792;0;26;Homme;Pic;False
2020/09/22 11:30:50;7.52309033637927;-8.28703505725257;0.715833333333333;OK;DDA_LOGREG;0.8;1;0;26;Homme;Pic;False
2020/09/22 11:30:57;7.91441826831972;-8.77704613851731;0.739166666666667;OK;DDA_LOGREG;0.5;0.8855503;0;26;Homme;Pic;False
2020/09/22 11:30:57;7.69861462431985;-8.63157430410805;0.736666666666667;OK;DDA_LOGREG;0.5;0.8887957;0;26;Homme;Pic;False
2020/09/22 11:30:57;7.55240654803454;-8.55464481018726;0.739166666666667;OK;DDA_LOGREG;0.5;0.8911444;0;26;Homme;Pic;False
2020/09/22 11:30:57;7.45156703406578;-8.5212848656877;0.765833333333333;OK;DDA_LOGREG;0.5;0.8830271;0;26;Homme;Pic;False
2020/09/22 11:30:57;7.32351171351046;-8.45485987009149;0.744166666666667;OK;DDA_LOGREG;0.8;1;0;26;Homme;Pic;False
2020/09/22 11:30:57;7.6006675650234;-8.80294729775057;0.79;OK;DDA_LOGREG;0.5;0.8798962;0;26;Homme;Pic;False
2020/09/22 11:30:57;7.46173461614468;-8.71874140684097;0.7755;OK;DDA_LOGREG;0.5;0.8336194;0;26;Homme;Pic;False
2020/09/22 11:30:57;7.05874334152236;-8.34719012825986;0.74;OK;DDA_LOGREG;0.5;0.8401211;1;26;Homme;Pic;False
2020/09/22 11:31:06;7.36478829966189;-8.62154248752162;0.7495;OK;DDA_LOGREG;0.5;0.8773021;1;26;Homme;Pic;False
2020/09/22 11:31:22;7.50514360325195;-8.70254718407291;0.761;OK;DDA_LOGREG;0.8;1;0;26;Homme;Pic;False
2020/09/22 11:31:33;7.774906779247;-9.03661569528281;0.753;OK;DDA_LOGREG;0.5;0.8531626;1;26;Homme;Pic;False
2020/09/22 11:31:44;8.07488757784532;-9.30798954097404;0.7395;OK;DDA_LOGREG;0.5;0.8824121;1;26;Homme;Pic;False
2020/09/22 11:32:07;8.22373722801088;-9.4052515887559;0.7275;OK;DDA_LOGREG;0.5;0.870508;0;26;Homme;Pic;False
2020/09/22 11:32:18;8.00850461921169;-9.2283993540483;0.73;OK;DDA_LOGREG;0.5;0.8638986;1;26;Homme;Pic;False
2020/09/22 11:32:27;8.25231991962508;-9.44134529195133;0.722;OK;DDA_LOGREG;0.8;1;0;26;Homme;Pic;False
2020/09/22 11:32:43;8.56148681778815;-9.81448527554162;0.73;OK;DDA_LOGREG;0.5;0.8828341;1;26;Homme;Pic;False
2020/09/22 11:32:50;8.72139122598982;-9.93095998636809;0.709666666666667;OK;DDA_LOGREG;0.5;0.8805751;1;26;Homme;Pic;False
2020/09/22 11:33:02;8.90335547275677;-10.0758486349513;0.687;OK;DDA_LOGREG;0.5;0.8855792;1;26;Homme;Pic;False
2020/09/22 11:33:11;9.05765551691556;-10.1913940562816;0.697666666666666;OK;DDA_LOGREG;0.5;0.9061402;1;26;Homme;Pic;False
2020/09/22 11:33:18;9.05859935531448;-10.1336415119834;0.682;OK;DDA_LOGREG;0.8;1;0;26;Homme;Pic;False
2020/09/22 11:33:27;9.43048200944821;-10.5727151961299;0.677333333333333;OK;DDA_LOGREG;0.5;0.8911262;1;26;Homme;Pic;False
