Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/03/12 05:29:35;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.134564;1;22;Homme;Pic;False
2020/03/12 05:29:48;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1906639;1;22;Homme;Pic;False
2020/03/12 05:29:53;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2502917;1;22;Homme;Pic;False
2020/03/12 05:30:03;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3143322;1;22;Homme;Pic;False
2020/03/12 05:30:07;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4055321;1;22;Homme;Pic;False
2020/03/12 05:30:15;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4820489;1;22;Homme;Pic;False
2020/03/12 05:30:21;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5770156;1;22;Homme;Pic;False
2020/03/12 05:30:32;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6636085;0;22;Homme;Pic;False
2020/03/12 05:30:41;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5825905;1;22;Homme;Pic;False
2020/03/12 05:30:46;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.633773;1;22;Homme;Pic;False
2020/03/12 05:31:22;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7152189;1;22;Homme;Pic;False
2020/03/12 05:31:28;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7785271;1;22;Homme;Pic;False
2020/03/12 05:31:31;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8439795;1;22;Homme;Pic;False
2020/03/12 05:31:34;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9248233;1;22;Homme;Pic;False
2020/03/12 05:31:44;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;1;0;22;Homme;Pic;False
2020/03/12 05:31:53;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.933848;0;22;Homme;Pic;False
2020/03/12 05:31:58;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8369309;1;22;Homme;Pic;False
2020/03/12 05:32:10;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8957721;1;22;Homme;Pic;False
2020/03/12 05:32:13;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9863746;0;22;Homme;Pic;False
2020/03/12 05:32:27;8.46704201720708;-9.16180065280974;0.845;OK;DDA_LOGREG;0.8;1;0;22;Homme;Pic;False
2020/03/12 05:32:39;9.39356107267908;-10.3849275611368;0.86;OK;DDA_LOGREG;0.5;0.9105015;0;22;Homme;Pic;False
2020/03/12 05:32:43;9.67115620383252;-10.9226387470595;0.843333333333333;OK;DDA_LOGREG;0.5;0.8909677;1;22;Homme;Pic;False
2020/03/12 05:32:50;9.65993364115512;-10.6957261210448;0.798333333333333;OK;DDA_LOGREG;0.5;0.886803;1;22;Homme;Pic;False
2020/03/12 05:32:56;9.77321166033743;-10.6503627925369;0.781666666666667;OK;DDA_LOGREG;0.5;0.9165952;0;22;Homme;Pic;False
2020/03/12 05:33:09;10.0758488548218;-11.1684514295135;0.808333333333333;OK;DDA_LOGREG;0.8;1;0;22;Homme;Pic;False
2020/03/12 05:33:16;10.8489563871843;-12.119170042099;0.783333333333333;OK;DDA_LOGREG;0.5;0.8840085;1;22;Homme;Pic;False
2020/03/12 05:33:24;11.1603932915977;-12.318496534773;0.826666666666667;OK;DDA_LOGREG;0.5;0.9185289;0;22;Homme;Pic;False
2020/03/12 05:33:48;11.3989289265915;-12.7226429376273;0.808333333333333;OK;DDA_LOGREG;0.5;0.9025582;0;22;Homme;Pic;False
2020/03/12 05:34:02;11.4106449551422;-12.8721409049262;0.781666666666667;OK;DDA_LOGREG;0.5;0.8826909;0;22;Homme;Pic;False
