Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/22 02:31:12;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1315177;1;22;M;Low;False
2020/09/22 02:31:24;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2261743;1;22;M;Low;False
2020/09/22 02:31:30;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.316823;1;22;M;Low;False
2020/09/22 02:31:42;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3955442;1;22;M;Low;False
2020/09/22 02:31:55;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.466033;1;22;M;Low;False
2020/09/22 02:32:09;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5341357;0;22;M;Low;False
2020/09/22 02:32:09;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4361101;0;22;M;Low;False
2020/09/22 02:32:09;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.340679;0;22;M;Low;False
2020/09/22 02:32:09;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2629589;1;22;M;Low;False
2020/09/22 02:32:27;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3286631;1;22;M;Low;False
2020/09/22 02:32:30;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.4168997;1;22;M;Low;False
2020/09/22 02:32:38;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.4805423;1;22;M;Low;False
2020/09/22 02:32:48;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.5781448;1;22;M;Low;False
2020/09/22 02:32:54;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.6747372;1;22;M;Low;False
2020/09/22 02:33:01;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7461507;0;22;M;Low;False
2020/09/22 02:33:13;3.25953591822874;-5.0415139896733;0.66;OK;DDA_LOGREG;0.2;0.3251088;1;22;M;Low;False
2020/09/22 02:33:18;3.4666707915393;-5.36889393354785;0.675;OK;DDA_LOGREG;0.2;0.3761839;1;22;M;Low;False
2020/09/22 02:33:23;3.63906694173541;-5.60459018113347;0.71;OK;DDA_LOGREG;0.2;0.418779;1;22;M;Low;False
2020/09/22 02:33:27;3.77095011357697;-5.73678706629278;0.73;OK;DDA_LOGREG;0.2;0.4216828;1;22;M;Low;False
2020/09/22 02:33:36;3.89189351415027;-5.85681115844135;0.75;OK;DDA_LOGREG;0.2;0.3743505;1;22;M;Low;False
2020/09/22 02:33:40;4.02943425596402;-6.05467330683068;0.75;OK;DDA_LOGREG;0.2;0.4371073;1;22;M;Low;False
2020/09/22 02:33:46;4.40560580625719;-6.60989642867919;0.751666666666667;OK;DDA_LOGREG;0.2;0.4984801;1;22;M;Low;False
2020/09/22 02:33:52;4.45408214253899;-6.5286738708056;0.766666666666667;OK;DDA_LOGREG;0.2;0.4601786;1;22;M;Low;False
2020/09/22 02:33:57;4.55257770186175;-6.6003109011012;0.825;OK;DDA_LOGREG;0.2;0.4639991;1;22;M;Low;False
2020/09/22 02:34:01;4.64455638544704;-6.66419751232281;0.793333333333333;OK;DDA_LOGREG;0.2;0.4452084;1;22;M;Low;False
2020/09/22 02:34:06;4.7546827385519;-6.78491953506884;0.781666666666667;OK;DDA_LOGREG;0.2;0.4507426;1;22;M;Low;False
2020/09/22 02:34:10;4.8567873764997;-6.89149509021693;0.823333333333333;OK;DDA_LOGREG;0.2;0.5401931;1;22;M;Low;False
2020/09/22 02:34:17;4.80124890877196;-6.61861099361163;0.821666666666667;OK;DDA_LOGREG;0.2;0.535053;1;22;M;Low;False
2020/09/22 02:34:28;4.76808537558543;-6.4102713369113;0.836666666666667;OK;DDA_LOGREG;0.2;0.5471073;1;22;M;Low;False
2020/09/22 02:34:34;4.7120580082415;-6.15969183429015;0.86;OK;DDA_LOGREG;0.2;0.5511906;1;22;M;Low;False
2020/09/22 02:34:38;4.65313980140905;-5.91257458837133;0.866666666666667;OK;DDA_LOGREG;0.2;0.5377651;1;22;M;Low;False
2020/09/22 02:34:45;4.6297374687393;-5.75387772496744;0.871666666666667;OK;DDA_LOGREG;0.2;0.5177147;1;22;M;Low;False
2020/09/22 02:34:50;4.64575771330015;-5.69030887253362;0.875;OK;DDA_LOGREG;0.2;0.5171837;1;22;M;Low;False
2020/09/22 02:34:54;4.66286529595383;-5.63387120897281;0.874166666666667;OK;DDA_LOGREG;0.2;0.6013793;1;22;M;Low;False
2020/09/22 02:35:00;4.48574047780774;-5.15791114296186;0.885833333333333;OK;DDA_LOGREG;0.2;0.6030146;1;22;M;Low;False
