Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/21 05:33:51;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1026923;1;23;Femme;Low;False
2020/09/21 05:33:58;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1903683;1;23;Femme;Low;False
2020/09/21 05:34:08;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2884747;0;23;Femme;Low;False
2020/09/21 05:34:14;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2251319;1;23;Femme;Low;False
2020/09/21 05:34:34;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.285102;1;23;Femme;Low;False
2020/09/21 05:34:56;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3575136;1;23;Femme;Low;False
2020/09/21 05:35:18;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4483187;0;23;Femme;Low;False
2020/09/21 05:35:38;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3610936;1;23;Femme;Low;False
2020/09/21 05:35:55;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4325621;1;23;Femme;Low;False
2020/09/21 05:36:12;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4941949;1;23;Femme;Low;False
2020/09/21 05:36:19;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.5862219;1;23;Femme;Low;False
2020/09/21 05:36:27;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.65626;1;23;Femme;Low;False
2020/09/21 05:36:36;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.747394;0;23;Femme;Low;False
2020/09/21 05:36:47;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.6766925;1;23;Femme;Low;False
2020/09/21 05:37:00;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7444206;0;23;Femme;Low;False
2020/09/21 05:37:07;3.11552408402982;-4.39865752483244;0.645;OK;DDA_LOGREG;0.2;0.3279232;1;23;Femme;Low;False
2020/09/21 05:37:29;3.3360154190537;-4.71510186926919;0.65;OK;DDA_LOGREG;0.2;0.390386;1;23;Femme;Low;False
2020/09/21 05:37:33;3.53061960676653;-4.96374560783385;0.635;OK;DDA_LOGREG;0.2;0.4537058;1;23;Femme;Low;False
2020/09/21 05:37:51;3.69601192053752;-5.12843809901526;0.72;OK;DDA_LOGREG;0.2;0.3967973;1;23;Femme;Low;False
2020/09/21 05:37:55;3.87241727726368;-5.35946794312339;0.735;OK;DDA_LOGREG;0.2;0.4370581;1;23;Femme;Low;False
2020/09/21 05:38:25;4.02764728042759;-5.5375020782656;0.745;OK;DDA_LOGREG;0.2;0.4529319;1;23;Femme;Low;False
2020/09/21 05:38:30;4.16960958564338;-5.68992604647803;0.77;OK;DDA_LOGREG;0.2;0.5239176;1;23;Femme;Low;False
2020/09/21 05:38:44;4.244896552135;-5.68031449995145;0.796666666666667;OK;DDA_LOGREG;0.2;0.4761536;1;23;Femme;Low;False
2020/09/21 05:38:48;4.36622425709956;-5.79780935742055;0.823333333333333;OK;DDA_LOGREG;0.2;0.4908111;1;23;Femme;Low;False
2020/09/21 05:39:06;4.47353414979834;-5.88789733412597;0.838333333333333;OK;DDA_LOGREG;0.2;0.50037;1;23;Femme;Low;False
2020/09/21 05:39:26;4.57038959818601;-5.95996905420566;0.82;OK;DDA_LOGREG;0.2;0.56796;1;23;Femme;Low;False
2020/09/21 05:39:41;4.5736311460787;-5.82381941682598;0.85;OK;DDA_LOGREG;0.2;0.5675628;1;23;Femme;Low;False
2020/09/21 05:39:46;4.58003697419473;-5.70555236183935;0.848333333333333;OK;DDA_LOGREG;0.2;0.6096351;1;23;Femme;Low;False
2020/09/21 05:39:54;4.50213101280346;-5.41730558439229;0.861666666666667;OK;DDA_LOGREG;0.2;0.5363781;1;23;Femme;Low;False
2020/09/21 05:39:58;4.55756404737586;-5.42401270909361;0.861666666666667;OK;DDA_LOGREG;0.2;0.6245732;1;23;Femme;Low;False
2020/09/21 05:40:16;4.4535955647603;-5.10113564575714;0.87;OK;DDA_LOGREG;0.2;0.5367663;1;23;Femme;Low;False
2020/09/21 05:40:24;4.50738927765955;-5.11602740533286;0.87;OK;DDA_LOGREG;0.2;0.6186599;1;23;Femme;Low;False
2020/09/21 05:40:36;4.42620210569658;-4.8552930010222;0.876666666666667;OK;DDA_LOGREG;0.2;0.5622086;0;23;Femme;Low;False
2020/09/21 05:40:47;4.33138277892856;-5.09811074507522;0.8475;OK;DDA_LOGREG;0.2;0.5271521;1;23;Femme;Low;False
2020/09/21 05:40:52;4.3937762495078;-5.13969166508342;0.853333333333333;OK;DDA_LOGREG;0.2;0.6378241;1;23;Femme;Low;False
2020/09/21 05:40:56;4.2644414630724;-4.79442411043901;0.856666666666667;OK;DDA_LOGREG;0.2;0.5905349;1;23;Femme;Low;False
2020/09/21 05:41:00;4.23990805560115;-4.66531344427781;0.863333333333333;OK;DDA_LOGREG;0.2;0.5629475;1;23;Femme;Low;False
2020/09/21 05:41:04;4.25757549361328;-4.62538685783829;0.855833333333333;OK;DDA_LOGREG;0.2;0.5614709;1;23;Femme;Low;False
2020/09/21 05:41:08;4.27684456085516;-4.59166455939534;0.869166666666667;OK;DDA_LOGREG;0.2;0.5983197;1;23;Femme;Low;False
2020/09/21 05:41:11;4.24050538598385;-4.44966136498064;0.873333333333333;OK;DDA_LOGREG;0.2;0.6152539;1;23;Femme;Low;False
2020/09/21 05:41:15;4.17650076164964;-4.25667720081877;0.875;OK;DDA_LOGREG;0.2;0.6946358;1;23;Femme;Low;False
2020/09/21 05:41:20;3.95219403559944;-3.75685857989367;0.882;OK;DDA_LOGREG;0.2;0.7355615;1;23;Femme;Low;False
2020/09/21 05:41:24;3.67809034333419;-3.16752475692062;0.8815;OK;DDA_LOGREG;0.2;0.73956;1;23;Femme;Low;False
2020/09/21 05:41:30;3.45362124911535;-2.67891215624946;0.8855;OK;DDA_LOGREG;0.2;0.8557814;0;23;Femme;Low;False
2020/09/21 05:41:36;4.6365948694681;-4.99698220307401;0.8625;OK;DDA_LOGREG;0.2;0.6306419;1;23;Femme;Low;False
2020/09/21 05:41:39;4.62653531214655;-4.91759316227584;0.8655;OK;DDA_LOGREG;0.2;0.7162185;1;23;Femme;Low;False
2020/09/21 05:41:47;4.47297552347967;-4.57770311002995;0.8675;OK;DDA_LOGREG;0.2;0.6077871;1;23;Femme;Low;False
2020/09/21 05:41:51;4.49113222600639;-4.55651165565697;0.875;OK;DDA_LOGREG;0.2;0.6737422;1;23;Femme;Low;False
2020/09/21 05:41:57;4.42700035050327;-4.38549578308285;0.8725;OK;DDA_LOGREG;0.2;0.7497371;1;23;Femme;Low;False
2020/09/21 05:42:01;4.23377141196981;-3.9854045676823;0.8795;OK;DDA_LOGREG;0.2;0.7264996;1;23;Femme;Low;False
2020/09/21 05:42:05;4.1059652233777;-3.70607297559302;0.88;OK;DDA_LOGREG;0.2;0.802232;1;23;Femme;Low;False
2020/09/21 05:42:09;3.86484988020878;-3.22929370205635;0.883;OK;DDA_LOGREG;0.2;0.710215;1;23;Femme;Low;False
2020/09/21 05:42:12;3.78951957933963;-3.04977716208593;0.884333333333333;OK;DDA_LOGREG;0.2;0.7322741;1;23;Femme;Low;False
2020/09/21 05:42:16;3.6940707634858;-2.83677535604403;0.884333333333333;OK;DDA_LOGREG;0.2;0.6982041;1;23;Femme;Low;False
2020/09/21 05:42:20;3.64039754634556;-2.69997016775807;0.888666666666667;OK;DDA_LOGREG;0.2;0.9076675;1;23;Femme;Low;False
2020/09/21 05:42:25;3.34000331097509;-2.13346160291029;0.886666666666666;OK;DDA_LOGREG;0.2;0.8578489;0;23;Femme;Low;False
2020/09/21 05:42:32;4.1045184577138;-3.59552307921664;0.875333333333333;OK;DDA_LOGREG;0.2;0.7426649;0;23;Femme;Low;False
2020/09/21 05:42:41;4.37916326272736;-4.22559007034445;0.86;OK;DDA_LOGREG;0.2;0.7332813;1;23;Femme;Low;False
2020/09/21 05:42:45;4.31911989535208;-4.08156736819678;0.859;OK;DDA_LOGREG;0.2;0.6616078;1;23;Femme;Low;False
2020/09/21 05:42:49;4.32960030799752;-4.05936209082445;0.857666666666667;OK;DDA_LOGREG;0.2;0.7382926;1;23;Femme;Low;False
2020/09/21 05:42:53;4.26710420913721;-3.91443478210589;0.863333333333333;OK;DDA_LOGREG;0.2;0.7893367;1;23;Femme;Low;False
2020/09/21 05:42:58;4.14413678189682;-3.67067001638277;0.868095238095238;OK;DDA_LOGREG;0.2;0.6793876;1;23;Femme;Low;False
2020/09/21 05:43:01;4.14254465086028;-3.63152616680193;0.87047619047619;OK;DDA_LOGREG;0.2;0.6934781;1;23;Femme;Low;False
2020/09/21 05:43:05;4.12999374809842;-3.57482802033844;0.869761904761905;OK;DDA_LOGREG;0.2;0.7289622;1;23;Femme;Low;False
2020/09/21 05:43:18;4.08662743588232;-3.46761986552513;0.873095238095238;OK;DDA_LOGREG;0.2;0.8575785;0;23;Femme;Flow;False
2020/09/21 05:43:34;4.68746143931819;-4.5377143331068;0.856428571428571;OK;DDA_LOGREG;0.5;1;0;23;Femme;Flow;False
2020/09/21 05:43:40;5.37107080369217;-5.6423382835535;0.846190476190476;OK;DDA_LOGREG;0.5;0.9249167;0;23;Femme;Flow;False
2020/09/21 05:43:47;5.85380864786655;-6.43074425629955;0.840238095238095;OK;DDA_LOGREG;0.5;0.911944;0;23;Femme;Flow;False
