Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/22 02:34:48;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.119952;1;22;Masculin;Pic;False
2020/09/22 02:35:09;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1821369;1;22;Masculin;Pic;False
2020/09/22 02:35:14;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2507044;1;22;Masculin;Pic;False
2020/09/22 02:35:38;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3503112;1;22;Masculin;Pic;False
2020/09/22 02:36:03;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4400095;1;22;Masculin;Pic;False
2020/09/22 02:36:14;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5250947;1;22;Masculin;Pic;False
2020/09/22 02:36:27;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6231841;0;22;Masculin;Pic;False
2020/09/22 02:36:41;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5702537;1;22;Masculin;Pic;False
2020/09/22 02:36:59;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6321765;0;22;Masculin;Pic;False
2020/09/22 02:37:13;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.573527;1;22;Masculin;Pic;False
2020/09/22 02:37:24;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.6424942;0;22;Masculin;Pic;False
2020/09/22 02:37:37;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.5650922;1;22;Masculin;Pic;False
2020/09/22 02:37:48;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.6357918;0;22;Masculin;Pic;False
2020/09/22 02:38:07;466.486164340325;-779.654403376967;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.5;0.5980951;0;22;Masculin;Pic;False
2020/09/22 02:38:17;919.81785299437;-1570.11685580573;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.8;0.5868777;0;22;Masculin;Pic;False
2020/09/22 02:38:37;1685.16105492221;-2904.41577903217;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.5;0.5801672;1;22;Masculin;Pic;False
2020/09/22 02:38:42;3197.63366829644;-5480.00691688905;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.5;0.5834801;1;22;Masculin;Pic;False
2020/09/22 02:38:50;5992.68634426609;-10240.9855794924;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.5;0.5851663;1;22;Masculin;Pic;False
2020/09/22 02:39:01;11220.2557637618;-19146.7654317812;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.5;0.58601;1;22;Masculin;Pic;False
2020/09/22 02:39:14;20759.1131371219;-35398.629000794;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.8;0.5864793;1;22;Masculin;Pic;False
2020/09/22 02:39:18;41700.0091817995;-71078.4432660364;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.5;0.5866731;1;22;Masculin;Pic;False
2020/09/22 02:39:36;75413.9671927563;-128523.053356036;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.5;0.5867752;1;22;Masculin;Pic;False
2020/09/22 02:39:51;138559.379172735;-236116.796153403;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.5;0.5868263;0;22;Masculin;Pic;False
2020/09/22 02:39:57;256407.235401484;-436957.896478758;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.5;0.5868005;1;22;Masculin;Pic;False
2020/09/22 02:40:13;464765.360827193;-792015.670912854;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.8;0.5868153;0;22;Masculin;Pic;False
2020/09/22 02:40:23;747928.498017794;-1274571.20581749;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.5;0.586808;0;22;Masculin;Pic;False
2020/09/22 02:40:29;1325941.12694452;-2259596.84015035;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.5;0.5868042;1;22;Masculin;Pic;False
2020/09/22 02:40:50;2333105.67535841;-3975939.82730826;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.5;0.5868061;1;22;Masculin;LowPic;False
2020/09/22 02:41:09;4099374.39636684;-6985898.63817922;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.5868068;1;22;Masculin;LowPic;False
2020/09/22 02:41:13;5949142.9301132;-10138152.8483343;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.8;0.5868075;1;22;Masculin;LowPic;False
2020/09/22 02:41:32;11816752.8484744;-20137349.6640836;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.5868077;1;22;Masculin;LowPic;False
2020/09/22 02:41:40;15056281.6417558;-25657943.5470602;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.5868078;1;22;Masculin;LowPic;False
2020/09/22 02:41:50;19488642.8738304;-33211284.1310044;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.5868078;1;22;Masculin;LowPic;False
2020/09/22 02:42:14;23638500.7545563;-40283201.2236318;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.5868078;1;22;Masculin;LowPic;False
2020/09/22 02:42:39;27300471.5988181;-46523694.0719703;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.8;0.586808;1;22;Masculin;LowPic;False
2020/09/22 02:42:45;16482141.0502888;-28087793.5779925;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.5868079;1;22;Masculin;LowPic;False
2020/09/22 02:43:23;19517854.4428184;-33261058.8918195;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.586808;1;22;Masculin;LowPic;False
2020/09/22 02:43:56;16535147.016595;-28178121.6399251;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.586808;1;22;Masculin;LowPic;False
