Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/21 05:55:50;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1225395;1;21;Homme;Low;False
2020/09/21 05:55:58;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.174995;1;21;Homme;Low;False
2020/09/21 05:56:04;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2424736;1;21;Homme;Low;False
2020/09/21 05:56:09;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3043181;1;21;Homme;Low;False
2020/09/21 05:56:13;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4005581;1;21;Homme;Low;False
2020/09/21 05:56:22;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4817562;1;21;Homme;Low;False
2020/09/21 05:56:32;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5732973;1;21;Homme;Low;False
2020/09/21 05:56:45;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6588103;0;21;Homme;Low;False
2020/09/21 05:57:03;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6088088;0;21;Homme;Low;False
2020/09/21 05:57:09;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5207865;1;21;Homme;Low;False
2020/09/21 05:57:19;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.576353;1;21;Homme;Low;False
2020/09/21 05:57:30;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.6701317;1;21;Homme;Low;False
2020/09/21 05:57:41;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7240636;1;21;Homme;Low;False
2020/09/21 05:57:48;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7985985;1;21;Homme;Low;False
2020/09/21 05:57:58;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8500446;1;21;Homme;Low;False
2020/09/21 05:58:02;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9222658;1;21;Homme;Low;False
2020/09/21 05:58:09;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;1;0;21;Homme;Low;False
2020/09/21 05:58:16;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9047939;0;21;Homme;Low;False
2020/09/21 05:58:24;4.30058788413981;-4.73847128417424;0.685;OK;DDA_LOGREG;0.2;0.6710982;1;21;Homme;Low;False
2020/09/21 05:58:29;5.20281605914467;-5.75594559174487;0.73;OK;DDA_LOGREG;0.2;0.6720323;1;21;Homme;Low;False
2020/09/21 05:58:42;5.3912249440375;-5.90798319386766;0.735;OK;DDA_LOGREG;0.2;0.7110956;0;21;Homme;Low;False
2020/09/21 05:58:50;4.37049365539165;-4.93160165460591;0.71;OK;DDA_LOGREG;0.2;0.6248863;1;21;Homme;Low;False
