Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/21 05:14:08;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1036405;1;23;Homme;Low;False
2020/09/21 05:14:34;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2006451;1;23;Homme;Low;False
2020/09/21 05:14:55;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.268299;1;23;Homme;Low;False
2020/09/21 05:15:06;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3402435;1;23;Homme;Low;False
2020/09/21 05:15:18;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3987583;1;23;Homme;Low;False
2020/09/21 05:15:27;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4720315;1;23;Homme;Low;False
2020/09/21 05:15:30;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5634152;1;23;Homme;Low;False
2020/09/21 05:15:44;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6600109;1;23;Homme;Low;False
2020/09/21 05:15:54;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.7263046;1;23;Homme;Low;False
2020/09/21 05:16:00;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.8069503;1;23;Homme;Low;False
2020/09/21 05:16:20;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8794736;1;23;Homme;Low;False
2020/09/21 05:16:30;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9439793;0;23;Homme;Low;False
2020/09/21 05:16:41;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8448921;0;23;Homme;Low;False
2020/09/21 05:16:51;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7739915;1;23;Homme;Low;False
2020/09/21 05:17:13;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8496038;1;23;Homme;Low;False
2020/09/21 05:17:27;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9045065;0;23;Homme;Low;False
2020/09/21 05:17:32;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8051357;1;23;Homme;Low;False
2020/09/21 05:17:37;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8967478;0;23;Homme;Low;False
2020/09/21 05:17:43;30.9479405669608;-35.7866413528541;0.885;OK;DDA_LOGREG;0.2;0.8295058;1;23;Homme;Low;False
2020/09/21 05:18:03;33.4682051201853;-38.5431578013898;0.9;OK;DDA_LOGREG;0.2;0.8340352;1;23;Homme;Low;False
2020/09/21 05:18:09;35.6995164987357;-40.978331412333;0.9;OK;DDA_LOGREG;0.2;0.8337013;1;23;Homme;Low;False
2020/09/21 05:18:23;37.7565623746535;-43.2402975403829;0.903333333333334;OK;DDA_LOGREG;0.2;0.8443074;1;23;Homme;Low;False
2020/09/21 05:18:34;51.0225746796788;-58.4081831824874;0.896666666666667;OK;DDA_LOGREG;0.2;0.8545919;1;23;Homme;Low;False
2020/09/21 05:18:40;52.7590391889856;-60.2130283893747;0.908333333333333;OK;DDA_LOGREG;0.2;0.8483769;0;23;Homme;Low;False
2020/09/21 05:18:45;36.9748826971243;-42.4258436800559;0.871666666666667;OK;DDA_LOGREG;0.2;0.8330953;1;23;Homme;Low;False
2020/09/21 05:18:55;38.6273531549951;-44.2708977978684;0.868333333333333;OK;DDA_LOGREG;0.2;0.8386076;1;23;Homme;Low;False
2020/09/21 05:18:59;40.0421577989665;-45.8311181919852;0.88;OK;DDA_LOGREG;0.2;0.8384834;1;23;Homme;Low;False
2020/09/21 05:19:25;41.383736765678;-47.3155958580792;0.885;OK;DDA_LOGREG;0.2;0.8464909;1;23;Homme;Low;False
2020/09/21 05:19:30;42.3477524275939;-48.3407037662082;0.89;OK;DDA_LOGREG;0.2;0.8501857;1;23;Homme;Low;False
2020/09/21 05:19:45;43.0838784640301;-49.0959138678213;0.891666666666667;OK;DDA_LOGREG;0.2;0.8545477;1;23;Homme;Low;False
2020/09/21 05:19:48;54.3858998558178;-62.1269331192474;0.896666666666667;OK;DDA_LOGREG;0.2;0.8496894;1;23;Homme;Low;False
2020/09/21 05:19:52;55.4140827670329;-63.2361697505047;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8510064;1;23;Homme;Low;False
2020/09/21 05:19:56;56.3367931956435;-64.2238359994338;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8597034;1;23;Homme;Low;False
2020/09/21 05:20:06;56.3137550262494;-64.0744571200315;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8614383;1;23;Homme;Low;False
2020/09/21 05:20:11;56.1961520211694;-63.8188270307468;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8566412;1;23;Homme;Low;False
2020/09/21 05:20:20;59.5206853298979;-67.5905203544493;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8614209;0;23;Homme;Low;False
2020/09/21 05:20:24;57.3679292576316;-65.4284546289197;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8567897;1;23;Homme;Low;False
2020/09/21 05:20:27;57.761214672156;-65.8040782814944;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8543658;1;23;Homme;Low;False
2020/09/21 05:20:30;58.4528189168218;-66.5415116398786;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8545814;1;23;Homme;Low;False
2020/09/21 05:20:38;59.1257278653983;-67.2603961178907;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8575268;1;23;Homme;Low;False
2020/09/21 05:20:46;59.500268166391;-67.6254544484552;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8555732;1;23;Homme;Low;False
2020/09/21 05:20:50;60.0984174921697;-68.2613835078215;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8600847;1;23;Homme;Low;False
2020/09/21 05:21:17;63.3695206938365;-71.9914245324723;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8598117;0;23;Homme;Low;False
2020/09/21 05:21:32;60.0088538318242;-68.3517552689351;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8554856;0;23;Homme;Low;False
2020/09/21 05:21:36;58.098261778299;-66.357812852279;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8587173;1;23;Homme;Low;False
2020/09/21 05:21:42;58.0180389954818;-66.1999988094831;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.852971;1;23;Homme;Low;False
2020/09/21 05:21:48;58.7305493009461;-66.9850390850004;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8597438;1;23;Homme;Low;False
2020/09/21 05:21:54;58.5391106306711;-66.7003920472779;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8574894;1;23;Homme;Low;False
2020/09/21 05:21:58;58.7529627010581;-66.8973461840678;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8539096;1;23;Homme;Low;False
2020/09/21 05:22:02;59.3790558115474;-67.5853866783067;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8622643;1;23;Homme;Low;False
2020/09/21 05:22:09;58.8481663299686;-66.9061670139418;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8601754;0;23;Homme;Low;False
2020/09/21 05:22:15;59.4817579053344;-67.8255234274019;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8569151;1;23;Homme;Low;False
2020/09/21 05:22:18;59.7600893007642;-68.105145468384;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8584263;1;23;Homme;Low;False
2020/09/21 05:22:27;59.8347799500264;-68.145720124186;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8600084;0;23;Homme;LowPic;False
2020/09/21 05:22:37;60.602594129558;-69.19844918066;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.8;0.8989745;0;23;Homme;LowPic;False
2020/09/21 05:22:41;66.0749594011427;-75.6018518344775;0;SD_PRED_TOO_LOW;DDA_LOGREG;0.2;0.8566001;1;23;Homme;LowPic;False
