Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/21 03:48:04;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1297367;1;22;Homme;Pic;False
2020/09/21 03:48:13;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1993005;1;22;Homme;Pic;False
2020/09/21 03:48:24;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2840572;1;22;Homme;Pic;False
2020/09/21 03:48:30;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3612671;1;22;Homme;Pic;False
2020/09/21 03:48:45;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4560706;1;22;Homme;Pic;False
2020/09/21 03:49:00;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5289078;0;22;Homme;Pic;False
2020/09/21 03:49:09;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4478574;1;22;Homme;Pic;False
2020/09/21 03:49:19;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5033384;1;22;Homme;Pic;False
2020/09/21 03:49:24;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5881733;1;22;Homme;Pic;False
2020/09/21 03:49:43;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6519479;0;22;Homme;Pic;False
2020/09/21 03:49:58;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.5838422;1;22;Homme;Pic;False
2020/09/21 03:50:07;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.6826784;0;22;Homme;Pic;False
2020/09/21 03:50:21;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.6307294;1;22;Homme;Pic;False
2020/09/21 03:50:29;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.6867495;1;22;Homme;Pic;False
2020/09/21 03:50:34;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7827638;1;22;Homme;Pic;False
