Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/21 11:23:49;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1496556;1;24;Masculin;Pic;False
2020/09/21 11:23:58;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2234199;1;24;Masculin;Pic;False
2020/09/21 11:24:09;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2901799;1;24;Masculin;Pic;False
2020/09/21 11:24:15;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3727538;1;24;Masculin;Pic;False
2020/09/21 11:24:32;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4292494;1;24;Masculin;Pic;False
2020/09/21 11:24:38;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4916781;1;24;Masculin;Pic;False
2020/09/21 11:24:42;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5513761;1;24;Masculin;Pic;False
2020/09/21 11:24:47;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6359028;1;24;Masculin;Pic;False
2020/09/21 11:24:52;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6939051;1;24;Masculin;Pic;False
2020/09/21 11:24:59;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.7787905;1;24;Masculin;Pic;False
2020/09/21 11:25:03;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8359416;1;24;Masculin;Pic;False
2020/09/21 11:25:08;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8902241;1;24;Masculin;Pic;False
2020/09/21 11:25:15;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.950717;0;24;Masculin;Pic;False
2020/09/21 11:25:27;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8508434;0;24;Masculin;Pic;False
2020/09/21 11:25:34;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7635192;1;24;Masculin;Pic;False
2020/09/21 11:25:47;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8424648;1;24;Masculin;Pic;False
2020/09/21 11:25:51;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9342356;1;24;Masculin;Pic;False
2020/09/21 11:25:55;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9907497;1;24;Masculin;Pic;False
2020/09/21 11:26:00;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;1;1;24;Masculin;Pic;False
2020/09/21 11:26:06;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;1;0;24;Masculin;Pic;False
2020/09/21 11:26:18;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9350331;0;24;Masculin;Pic;False
2020/09/21 11:26:23;8.00137909036735;-8.0573117024899;0.711666666666667;OK;DDA_LOGREG;0.5;1;1;24;Masculin;Pic;False
2020/09/21 11:26:28;7.27430716889845;-7.03728742702228;0.733333333333333;OK;DDA_LOGREG;0.5;1;1;24;Masculin;Pic;False
2020/09/21 11:26:34;6.74999838694998;-6.28637270477189;0.796666666666667;OK;DDA_LOGREG;0.5;1;0;24;Masculin;Pic;False
2020/09/21 11:26:46;7.43978562456282;-7.25931470008828;0.676666666666667;OK;DDA_LOGREG;0.8;1;0;24;Masculin;Pic;False
2020/09/21 11:26:53;8.0290328507962;-8.07012835314772;0.64;OK;DDA_LOGREG;0.5;1;1;24;Masculin;Pic;False
2020/09/21 11:26:57;7.54676006049365;-7.40139630056057;0.635;OK;DDA_LOGREG;0.5;1;0;24;Masculin;Pic;False
2020/09/21 11:27:11;8.03357829692345;-8.0696018502303;0.606666666666667;OK;DDA_LOGREG;0.5;1;0;24;Masculin;Pic;False
2020/09/21 11:27:17;8.46748251123716;-8.65699988772353;0.626666666666667;OK;DDA_LOGREG;0.5;0.9653541;1;24;Masculin;Pic;False
2020/09/21 11:27:22;8.30468735476229;-8.37425699553051;0.58;ACCURACY_TOO_LOW;DDA_PMDELTA;0.5;1;0;24;Masculin;Pic;False
2020/09/21 11:27:27;10.8609692222219;-11.1471085612464;0.676666666666667;OK;DDA_LOGREG;0.5;0.9701219;0;24;Masculin;Pic;False
2020/09/21 11:27:32;8.89120450661242;-9.21347294281488;0.665;OK;DDA_LOGREG;0.5;0.9455793;1;24;Masculin;Pic;False
2020/09/21 11:27:36;11.2209032693942;-11.5447410214071;0.681666666666667;OK;DDA_LOGREG;0.5;0.9649518;1;24;Masculin;Pic;False
2020/09/21 11:27:41;11.1132541932587;-11.3372891910568;0.680833333333333;OK;DDA_LOGREG;0.5;0.9959639;1;24;Masculin;Pic;False
2020/09/21 11:27:44;10.5172577047902;-10.6101236062601;0.611666666666667;OK;DDA_LOGREG;0.8;1;0;24;Masculin;Pic;False
2020/09/21 11:27:48;11.0788003961916;-11.2831085438468;0.651666666666667;OK;DDA_LOGREG;0.5;0.9835755;0;24;Masculin;Pic;False
2020/09/21 11:27:56;11.4058161390558;-11.7100227151353;0.674166666666667;OK;DDA_LOGREG;0.5;0.9818707;1;24;Masculin;Pic;False
2020/09/21 11:28:01;11.1059102470238;-11.3106331377789;0.6575;OK;DDA_LOGREG;0.5;0.9802189;0;24;Masculin;Pic;False
2020/09/21 11:28:13;11.3602695333528;-11.6559924811415;0.660833333333333;OK;DDA_LOGREG;0.5;0.9748359;1;24;Masculin;Pic;False
2020/09/21 11:28:23;11.20008477663;-11.4125584880476;0.6325;OK;DDA_LOGREG;0.8;1;0;24;Masculin;Pic;False
2020/09/21 11:28:35;11.6892446516611;-11.987359054509;0.655;OK;DDA_LOGREG;0.5;0.9658741;1;24;Masculin;Pic;False
2020/09/21 11:28:45;11.7007623589892;-11.9318421749276;0.6775;OK;DDA_LOGREG;0.5;0.9694681;0;24;Masculin;Pic;False
2020/09/21 11:28:51;11.7495877026991;-12.056259725634;0.6535;OK;DDA_LOGREG;0.5;0.9740633;0;24;Masculin;Pic;False
2020/09/21 11:28:56;11.8749883902852;-12.2536940600528;0.644;OK;DDA_LOGREG;0.5;0.9725526;0;24;Masculin;Pic;False
2020/09/21 11:29:04;11.9765854531307;-12.4228959240814;0.648;OK;DDA_LOGREG;0.8;1;0;24;Masculin;Pic;False
2020/09/21 11:29:12;12.406066812477;-12.9184109567606;0.673;OK;DDA_LOGREG;0.5;0.956183;0;24;Masculin;Pic;False
2020/09/21 11:29:29;12.2381207475647;-12.8073309118919;0.6665;OK;DDA_LOGREG;0.5;0.9485154;1;24;Masculin;Pic;False
2020/09/21 11:29:36;12.513967854104;-13.0366136670709;0.676;OK;DDA_LOGREG;0.5;0.9567919;0;24;Masculin;Pic;False
2020/09/21 11:29:45;12.3657469374751;-12.9421779584771;0.663;OK;DDA_LOGREG;0.5;0.9538909;1;24;Masculin;Pic;False
2020/09/21 11:29:51;12.5560776199863;-13.0836930235964;0.661;OK;DDA_LOGREG;0.8;1;0;24;Masculin;Pic;False
2020/09/21 11:30:13;12.989049076866;-13.5745493806643;0.676;OK;DDA_LOGREG;0.5;0.9678587;0;24;Masculin;Pic;False
