Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/21 05:38:28;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1000594;1;22;Femme;Flow;False
2020/09/21 05:39:08;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1531336;1;22;Femme;Flow;False
2020/09/21 05:39:24;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2444413;1;22;Femme;Flow;False
2020/09/21 05:39:33;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3085113;1;22;Femme;Flow;False
2020/09/21 05:39:38;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3720255;1;22;Femme;Flow;False
2020/09/21 05:39:42;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4647571;1;22;Femme;Flow;False
2020/09/21 05:39:54;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5428056;1;22;Femme;Flow;False
2020/09/21 05:40:04;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6279559;1;22;Femme;Flow;False
2020/09/21 05:40:09;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6820072;1;22;Femme;Flow;False
2020/09/21 05:40:13;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.7570644;1;22;Femme;Flow;False
2020/09/21 05:40:17;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8146614;1;22;Femme;Flow;False
2020/09/21 05:40:22;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8763503;1;22;Femme;Flow;False
2020/09/21 05:40:25;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9401262;0;22;Femme;Flow;False
2020/09/21 05:40:32;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8686064;0;22;Femme;Flow;False
2020/09/21 05:40:41;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7734609;1;22;Femme;Flow;False
2020/09/21 05:40:48;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8526942;0;22;Femme;Flow;False
2020/09/21 05:41:05;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.802049;0;22;Femme;Flow;False
2020/09/21 05:41:12;19.4748872655321;-23.3504596744063;0.83;OK;DDA_LOGREG;0.5;0.8287701;0;22;Femme;Flow;False
2020/09/21 05:41:18;19.5693562945417;-23.8316560191273;0.8;OK;DDA_LOGREG;0.5;0.8234608;1;22;Femme;Flow;False
2020/09/21 05:41:22;19.865325291859;-23.8774571784592;0.8;OK;DDA_LOGREG;0.5;0.8314957;1;22;Femme;Flow;False
2020/09/21 05:41:27;19.8365835634168;-23.5730264530681;0.79;OK;DDA_LOGREG;0.5;0.8358538;1;22;Femme;Flow;False
2020/09/21 05:41:31;19.7262943043575;-23.2104463942595;0.758333333333333;OK;DDA_LOGREG;0.5;0.8583854;1;22;Femme;Flow;False
2020/09/21 05:41:35;18.0547259995562;-20.9655014862291;0.741666666666667;OK;DDA_LOGREG;0.5;0.8690486;1;22;Femme;Flow;False
2020/09/21 05:41:39;16.1631524841665;-18.4927621458606;0.74;OK;DDA_LOGREG;0.5;0.8754926;1;22;Femme;Flow;False
2020/09/21 05:41:41;14.4707703620104;-16.2943718205304;0.725;OK;DDA_LOGREG;0.5;0.8974034;1;22;Femme;Flow;False
2020/09/21 05:41:45;10.3382941572141;-11.2457558495251;0.776666666666667;OK;DDA_LOGREG;0.5;0.9210732;1;22;Femme;Flow;False
2020/09/21 05:41:50;6.89202185461085;-7.02076427131522;0.776666666666667;OK;DDA_LOGREG;0.5;0.9912776;0;22;Femme;Flow;False
2020/09/21 05:41:59;11.0464018312535;-12.0078247191427;0.761666666666667;OK;DDA_LOGREG;0.5;0.9142955;1;22;Femme;Flow;False
2020/09/21 05:42:03;10.120557456823;-10.7894684391257;0.778333333333333;OK;DDA_LOGREG;0.5;0.9235898;1;22;Femme;Flow;False
2020/09/21 05:42:06;9.24902855986414;-9.64985715631061;0.775;OK;DDA_LOGREG;0.5;0.9660694;0;22;Femme;Flow;False
2020/09/21 05:42:23;11.8003298941423;-12.6862291803337;0.773333333333333;OK;DDA_LOGREG;0.5;0.9179968;0;22;Femme;Flow;False
2020/09/21 05:42:46;12.7929319943039;-13.954188716493;0.730833333333333;OK;DDA_LOGREG;0.5;0.9093876;0;22;Femme;Flow;False
2020/09/21 05:42:56;12.3341623923619;-13.574116147946;0.718333333333333;OK;DDA_LOGREG;0.5;0.9068824;1;22;Femme;Flow;False
2020/09/21 05:43:00;12.9360339160157;-14.1304558485352;0.720833333333333;OK;DDA_LOGREG;0.5;0.9289759;1;22;Femme;Flow;False
2020/09/21 05:43:04;11.8111316451404;-12.7376476118931;0.705;OK;DDA_LOGREG;0.5;0.9136425;1;22;Femme;Flow;False
2020/09/21 05:43:07;11.2874039700812;-12.0508137125655;0.741666666666667;OK;DDA_LOGREG;0.5;0.9334551;0;22;Femme;Flow;False
2020/09/21 05:43:15;12.3400668544577;-13.3376703050383;0.745;OK;DDA_LOGREG;0.5;0.9277481;0;22;Femme;Flow;False
2020/09/21 05:43:26;13.1881044026837;-14.3849461118497;0.699166666666667;OK;DDA_LOGREG;0.5;0.907835;1;22;Femme;Flow;False
2020/09/21 05:43:30;12.8470907143693;-13.9163567300084;0.713333333333333;OK;DDA_LOGREG;0.5;0.9174505;1;22;Femme;Flow;False
2020/09/21 05:43:34;12.3191054876703;-13.2395282763713;0.729166666666667;OK;DDA_LOGREG;0.5;0.9447184;1;22;Femme;Flow;False
2020/09/21 05:43:37;11.1687120062535;-11.8588435778055;0.7525;OK;DDA_LOGREG;0.5;0.940074;1;22;Femme;Flow;False
2020/09/21 05:43:41;10.3549595223653;-10.8677559278091;0.731;OK;DDA_LOGREG;0.5;0.9596555;0;22;Femme;Flow;False
2020/09/21 05:43:48;11.4410310967023;-12.1549273411729;0.7275;OK;DDA_LOGREG;0.5;0.9322721;0;22;Femme;Flow;False
2020/09/21 05:43:57;12.0939638293359;-12.9616857193759;0.687;OK;DDA_LOGREG;0.5;0.9267721;1;22;Femme;Flow;False
2020/09/21 05:44:00;11.6247459373893;-12.3696487307779;0.723;OK;DDA_LOGREG;0.5;0.9339857;0;22;Femme;Flow;False
2020/09/21 05:44:09;12.2585517688729;-13.1468638107442;0.7015;OK;DDA_LOGREG;0.5;0.9226167;0;22;Femme;Flow;False
2020/09/21 05:44:14;12.6653885247074;-13.6712577627078;0.6735;OK;DDA_LOGREG;0.5;0.9167972;1;22;Femme;Flow;False
