Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/21 01:26:19;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1333465;1;22;M;Low;False
2020/09/21 01:26:28;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1913818;1;22;M;Low;False
2020/09/21 01:26:42;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2789382;1;22;M;Low;False
2020/09/21 01:26:51;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3597704;1;22;M;Low;False
2020/09/21 01:27:22;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.455468;1;22;M;Low;False
2020/09/21 01:27:28;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5292294;1;22;M;Low;False
2020/09/21 01:27:56;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6042336;0;22;M;Low;False
2020/09/21 01:28:08;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5405238;1;22;M;Low;False
2020/09/21 01:28:29;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6221863;1;22;M;Low;False
2020/09/21 01:28:34;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6790442;1;22;M;Low;False
2020/09/21 01:29:21;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7425233;1;22;M;Low;False
2020/09/21 01:29:28;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8298159;1;22;M;Low;False
2020/09/21 01:29:37;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9145227;0;22;M;Low;False
2020/09/21 01:29:45;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8629762;1;22;M;Low;False
2020/09/21 01:30:09;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9513251;0;22;M;Low;False
2020/09/21 01:30:17;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8919077;1;22;M;Low;False
2020/09/21 01:30:23;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9721641;0;22;M;Low;False
2020/09/21 01:30:42;7.2186903290028;-8.16975291793571;0.755;OK;DDA_LOGREG;0.2;0.7111754;0;22;M;Low;False
2020/09/21 01:31:08;5.75369205012137;-6.75932229311649;0.715;OK;DDA_LOGREG;0.2;0.681401;0;22;M;Low;False
2020/09/21 01:31:32;4.47634818380708;-5.45120092169908;0.695;OK;DDA_LOGREG;0.2;0.5665774;1;22;M;Low;False
2020/09/21 01:31:42;4.68611659057542;-5.66910331613856;0.695;OK;DDA_LOGREG;0.2;0.6131911;1;22;M;Low;False
2020/09/21 01:31:55;4.87082611057332;-5.84236435667925;0.713333333333333;OK;DDA_LOGREG;0.2;0.6213456;0;22;M;Low;False
2020/09/21 01:32:14;4.36839840557736;-5.40365162321354;0.645;OK;DDA_LOGREG;0.2;0.499819;1;22;M;Low;False
2020/09/21 01:32:24;4.54845442628633;-5.6111457265892;0.693333333333333;OK;DDA_LOGREG;0.2;0.6081273;0;22;M;Low;False
2020/09/21 01:32:43;4.12303581797371;-5.23763476502567;0.665;OK;DDA_LOGREG;0.2;0.4836304;1;22;M;Low;False
2020/09/21 01:32:53;4.29618695095137;-5.44180184885098;0.671666666666667;OK;DDA_LOGREG;0.2;0.5737205;1;22;M;Low;False
2020/09/21 01:33:17;4.44965397019412;-5.59611812243634;0.688333333333333;OK;DDA_LOGREG;0.2;0.5307617;1;22;M;Low;False
2020/09/21 01:33:37;4.60134851300931;-5.76598084845612;0.691666666666667;OK;DDA_LOGREG;0.2;0.5922379;1;22;M;Low;False
2020/09/21 01:33:57;4.7309947709564;-5.88890821689929;0.713333333333333;OK;DDA_LOGREG;0.2;0.5732076;0;22;M;Low;False
2020/09/21 01:34:09;4.27734259746029;-5.43458782810906;0.683333333333333;OK;DDA_LOGREG;0.2;0.5017156;1;22;M;Low;False
2020/09/21 01:34:25;4.41714244171067;-5.59969449833553;0.696666666666667;OK;DDA_LOGREG;0.2;0.5516155;1;22;M;Low;False
