Time;beta0;beta1;accuracy;log reg error;used Model;target Diff;param Diff;win;age;sexe;curve;abandon
2020/09/21 03:54:13;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.1161221;1;29;Homme;Low;False
2020/09/21 03:54:18;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2094377;1;29;Homme;Low;False
2020/09/21 03:54:24;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.2973407;1;29;Homme;Low;False
2020/09/21 03:54:41;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.3933311;1;29;Homme;Low;False
2020/09/21 03:54:56;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.4638965;1;29;Homme;Low;False
2020/09/21 03:54:59;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.5585071;1;29;Homme;Low;False
2020/09/21 03:55:03;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6430572;1;29;Homme;Low;False
2020/09/21 03:55:08;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.7043545;1;29;Homme;Low;False
2020/09/21 03:55:21;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.7640425;0;29;Homme;Low;False
2020/09/21 03:55:29;0;0;0;NOT_ENOUGH_SAMPLES;DDA_PMDELTA;0.5;0.6888111;1;29;Homme;Low;False
2020/09/21 03:55:41;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.742013;0;29;Homme;Low;False
2020/09/21 03:55:56;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.6474304;1;29;Homme;Low;False
2020/09/21 03:56:04;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.7083229;1;29;Homme;Low;False
2020/09/21 03:56:10;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8039888;1;29;Homme;Low;False
2020/09/21 03:56:16;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8651646;1;29;Homme;Low;False
2020/09/21 03:56:25;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.9154103;0;29;Homme;Low;False
2020/09/21 03:56:44;0;0;0;NOT_ENOUGH_FAILS;DDA_PMDELTA;0.5;0.8501895;0;29;Homme;Low;False
2020/09/21 03:56:51;9.52395559215081;-11.7414803943337;0.735;OK;DDA_LOGREG;0.2;0.6961802;1;29;Homme;Low;False
2020/09/21 03:56:55;9.99130357120195;-12.2461782842281;0.785;OK;DDA_LOGREG;0.2;0.6938257;1;29;Homme;Low;False
2020/09/21 03:56:59;10.439859418167;-12.7421581079958;0.775;OK;DDA_LOGREG;0.2;0.6949962;1;29;Homme;Low;False
2020/09/21 03:57:03;10.8624324448022;-13.2135938631508;0.785;OK;DDA_LOGREG;0.2;0.7262861;1;29;Homme;Low;False
2020/09/21 03:57:08;11.1669362292898;-13.5054649554175;0.788333333333333;OK;DDA_LOGREG;0.2;0.731033;1;29;Homme;Low;False
2020/09/21 03:57:14;11.4417414720197;-13.763798153052;0.816666666666667;OK;DDA_LOGREG;0.2;0.7383081;0;29;Homme;Low;False
2020/09/21 03:57:19;10.8535327324656;-13.3276384861859;0.793333333333333;OK;DDA_LOGREG;0.2;0.714042;1;29;Homme;Low;False
2020/09/21 03:57:24;11.1684114778458;-13.6618166131784;0.781666666666667;OK;DDA_LOGREG;0.2;0.693362;1;29;Homme;Low;False
2020/09/21 03:57:28;11.5309119047383;-14.0834169636456;0.808333333333333;OK;DDA_LOGREG;0.2;0.731698;1;29;Homme;Low;False
2020/09/21 03:57:39;11.7386456626932;-14.2705896239883;0.805;OK;DDA_LOGREG;0.2;0.7237009;0;29;Homme;Low;False
2020/09/21 03:57:55;10.9741358469411;-13.5375684792067;0.783333333333333;OK;DDA_LOGREG;0.2;0.6933075;1;29;Homme;Low;False
